# this file is a copy of the TLS one, with small modifications made by looking at SSL3-related RFCs and documents
Value,Description,,Reference
"0xC0,0x5A",SSL_DH_anon_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x5B",SSL_DH_anon_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x5C",SSL_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x5D",SSL_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x5E",SSL_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x5F",SSL_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x60",SSL_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x61",SSL_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x62",SSL_ECDH_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x63",SSL_ECDH_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x64",SSL_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x65",SSL_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x66",SSL_DHE_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x67",SSL_DHE_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x68",SSL_RSA_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x69",SSL_RSA_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x6A",SSL_PSK_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x6B",SSL_PSK_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x6C",SSL_DHE_PSK_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x6D",SSL_DHE_PSK_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x6E",SSL_RSA_PSK_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x6F",SSL_RSA_PSK_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x70",SSL_ECDHE_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x71",SSL_ECDHE_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x72",SSL_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x73",SSL_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x74",SSL_ECDH_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x75",SSL_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
